Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer
Maruti Wagon R,13,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,Maruti
Hyundai Creta 1.6,8,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,Hyundai
Honda Jazz V,12,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,Honda
Maruti Ertiga VDI,11,87000,Diesel,Manual,First,20.77,1248,88.76,7,6,Maruti
Audi A4 New,10,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,Audi
Hyundai EON LPG,11,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,Hyundai
Nissan Micra Diesel,10,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,Nissan
Toyota Innova Crysta,7,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,Toyota
Volkswagen Vento Diesel,10,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,Volkswagen
Tata Indica Vista,11,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95,Tata
Maruti Ciaz Zeta,5,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,Maruti
Honda City 1.5,11,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,Honda
Maruti Swift VDI,8,64424,Diesel,Manual,First,25.2,1248,74,5,5.6,Maruti
Land Rover Range,9,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27,Land
Land Rover Freelander,11,85000,Diesel,Automatic,Second,0,2179,115,5,17.5,Land
Mitsubishi Pajero Sport,9,110000,Diesel,Manual,First,13.5,2477,175.56,7,15,Mitsubishi
Honda Amaze S,7,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,Honda
Maruti Swift DDiS,6,25000,Diesel,Manual,First,28.4,1248,74,5,5.99,Maruti
Renault Duster 85PS,9,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,Renault
Mercedes-Benz New C-Class,9,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28,Mercedes-Benz
BMW 3 Series,9,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55,BMW
Maruti S Cross,8,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25,Maruti
Audi A6 2011-2015,8,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,Audi
Hyundai i20 1.2,13,45807,Petrol,Manual,First,18.5,1197,80,5,1.87,Hyundai
Volkswagen Vento Petrol,13,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,Volkswagen
Honda City Corporate,11,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,Honda
Nissan Micra Diesel,11,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,Nissan
Maruti Alto K10,10,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,Maruti
Honda WRV i-VTEC,5,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,Honda
Toyota Innova 2.5,16,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4,Toyota
Renault Duster 110PS,10,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,Renault
Toyota Corolla Altis,11,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,Toyota
Mahindra Ssangyong Rexton,10,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5,Mahindra
Audi A6 2.7,13,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,Audi
Volkswagen Vento 1.6,9,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,Volkswagen
Maruti Wagon R,14,83816,Petrol,Manual,Second,14,1061,64,5,1.85,Maruti
Maruti Vitara Brezza,5,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,Maruti
Mahindra KUV 100,6,52000,Petrol,Manual,First,18.15,1198,82,5,4.85,Mahindra
Mercedes-Benz M-Class ML,10,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28,Mercedes-Benz
Volkswagen Polo Diesel,10,62000,Diesel,Manual,First,22.07,1199,73.9,5,5,Volkswagen
Maruti Alto LXi,15,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,Maruti
Tata Nano LX,9,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,Tata
Mahindra KUV 100,6,22033,Diesel,Manual,First,25.32,1198,77,6,5.58,Mahindra
Hyundai i20 Magna,9,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,Hyundai
Hyundai Elantra 2.0,9,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,Hyundai
Toyota Corolla Altis,7,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,Toyota
Hyundai Elantra CRDi,15,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,Hyundai
Toyota Innova Crysta,11,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,Toyota
Hyundai Xcent 1.1,9,75000,Diesel,Manual,First,24.4,1120,71,5,3.85,Hyundai
Mahindra Thar CRDe,11,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5,Mahindra
Audi A4 2.0,8,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,Audi
Maruti Swift LDI,9,52000,Diesel,Manual,First,22.9,1248,74,5,4.25,Maruti
Maruti Swift Ldi,9,53000,Diesel,Manual,First,17.8,1248,75,5,3.3,Maruti
Maruti Swift VDI,10,65650,Diesel,Manual,First,28.4,1248,74,5,3.85,Maruti
Hyundai Grand i10,8,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6,Hyundai
Volkswagen Vento 2013-2015,8,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,Volkswagen
Renault KWID RXT,6,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,Renault
Hyundai i10 Asta,13,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,Hyundai
